cod_a,cod_b,sim_nombre,sim_direccion,mismo_telefono,nombre_a,nombre_b,depto,municipio,idx_a,idx_b
12-13-0071-46,12-13-0090-46,100.0,100.0,True,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,SAN MARCOS,EL TUMBADOR,2556,2565
12-13-0075-46,12-13-0076-46,100.0,100.0,True,"LICEO PRIVADO MIXTO ""TUMBADORENSE""","LICEO PRIVADO MIXTO ""TUMBADORENSE""",SAN MARCOS,EL TUMBADOR,2559,2560
12-13-0095-46,12-13-0109-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""IMPERIAL""","COLEGIO PRIVADO MIXTO ""IMPERIAL""",SAN MARCOS,EL TUMBADOR,2566,2572
12-30-0069-46,12-30-0080-46,100.0,100.0,True,"""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""","""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""",SAN MARCOS,LA BLANCA,2895,2899
12-30-0072-46,12-30-0073-46,100.0,100.0,False,"""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""","""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""",SAN MARCOS,LA BLANCA,2896,2897
12-15-0054-46,12-15-0055-46,100.0,100.0,True,LICEO ESPAÑOL,LICEO ESPAÑOL,SAN MARCOS,MALACATAN,2595,2596
12-15-0093-46,12-15-3447-46,100.0,100.0,False,CENTRO DE ESTUDIOS POR MADUREZ CEEM,CENTRO DE ESTUDIOS POR MADUREZ CEEM,SAN MARCOS,MALACATAN,2610,2680
12-15-0097-46,12-15-0144-46,100.0,100.0,True,"LICEO PRE-UNIVERSITARIO ""LA FE""","LICEO PRE-UNIVERSITARIO ""LA FE""",SAN MARCOS,MALACATAN,2612,2633
12-15-0114-46,12-15-0115-46,100.0,100.0,True,COLEGIO EVANGÉLICO MIXTO CENTROAMERICANO,COLEGIO EVANGÉLICO MIXTO CENTROAMERICANO,SAN MARCOS,MALACATAN,2616,2617
12-15-0127-46,12-15-0128-46,100.0,100.0,True,"INSTITUTO PRIVADO MIXTO ""MALACATECO""","INSTITUTO PRIVADO MIXTO ""MALACATECO""",SAN MARCOS,MALACATAN,2624,2625
12-15-0134-46,12-15-0135-46,100.0,100.0,True,"INSTITUTO PARTICULAR TECNICO VOCACIONAL ""PRACTICO MODERNO""","INSTITUTO PARTICULAR TECNICO VOCACIONAL ""PRACTICO MODERNO""",SAN MARCOS,MALACATAN,2627,2628
12-15-0142-46,12-15-0143-46,100.0,100.0,True,COLEGIO AMISADAI,COLEGIO AMISADAI,SAN MARCOS,MALACATAN,2631,2632
12-15-0155-46,12-15-0156-46,100.0,100.0,True,"COLEGIO SUPERIOR ""HARVARD""","COLEGIO SUPERIOR ""HARVARD""",SAN MARCOS,MALACATAN,2637,2638
12-15-0163-46,12-15-0164-46,100.0,100.0,True,INSTITUTO TECNOLÓGICO EMPRESARIAL,INSTITUTO TECNOLÓGICO EMPRESARIAL,SAN MARCOS,MALACATAN,2641,2642
12-15-0166-46,12-15-0167-46,100.0,100.0,False,"INSTITUTO PRIVADO MIXTO ""SAN ANDRÉS DE LA VILLA""","INSTITUTO PRIVADO MIXTO ""SAN ANDRÉS DE LA VILLA""",SAN MARCOS,MALACATAN,2644,2645
12-15-0172-46,12-15-0175-46,100.0,100.0,True,COLEGIO PRIVADO MIXTO EMANUEL,COLEGIO PRIVADO MIXTO EMANUEL,SAN MARCOS,MALACATAN,2650,2652
12-15-0209-46,12-15-0210-46,100.0,100.0,True,LICEO PREPARATORIA,LICEO PREPARATORIA,SAN MARCOS,MALACATAN,2668,2669
12-12-0069-46,12-12-0082-46,100.0,100.0,True,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",SAN MARCOS,NUEVO PROGRESO,2519,2528
12-12-0071-46,12-12-0076-46,100.0,100.0,True,"LICEO ""SAN JOSÉ""","LICEO ""SAN JOSÉ""",SAN MARCOS,NUEVO PROGRESO,2521,2525
12-12-0075-46,12-12-4537-46,100.0,100.0,True,"LICEO ""SAN JOSÉ""","LICEO ""SAN JOSÉ""",SAN MARCOS,NUEVO PROGRESO,2524,2549
12-12-0078-46,12-12-0083-46,100.0,100.0,True,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",SAN MARCOS,NUEVO PROGRESO,2527,2529
12-12-0078-46,12-12-0085-46,100.0,100.0,False,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",SAN MARCOS,NUEVO PROGRESO,2527,2531
12-12-0083-46,12-12-0085-46,100.0,100.0,False,"COLEGIO CIENTÍFICO ""GALILEO""","COLEGIO CIENTÍFICO ""GALILEO""",SAN MARCOS,NUEVO PROGRESO,2529,2531
12-12-0103-46,12-12-0104-46,100.0,100.0,True,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,SAN MARCOS,NUEVO PROGRESO,2539,2540
12-18-0036-46,12-18-0037-46,100.0,100.0,False,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,SAN MARCOS,OCOS,2741,2742
12-22-0003-46,12-22-0023-46,100.0,100.0,False,"INSTITUTO TECNOLOGICO ""GERARDI""","INSTITUTO TECNOLOGICO ""GERARDI""",SAN MARCOS,PAJAPITA,2779,2785
12-22-0020-46,12-22-0021-46,100.0,100.0,False,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,SAN MARCOS,PAJAPITA,2782,2783
12-22-0020-46,12-22-0024-46,100.0,100.0,False,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,SAN MARCOS,PAJAPITA,2782,2786
12-22-0021-46,12-22-0024-46,100.0,100.0,False,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,SAN MARCOS,PAJAPITA,2783,2786
12-22-0029-46,12-22-0030-46,100.0,100.0,True,COLEGIO AMERICANO,COLEGIO AMERICANO,SAN MARCOS,PAJAPITA,2789,2790
12-14-0029-46,12-14-0031-46,100.0,100.0,False,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,SAN MARCOS,SAN JOSE EL RODEO,2588,2590
12-24-0038-46,12-24-0048-46,100.0,100.0,False,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,SAN MARCOS,SAN JOSE OJETENAM,2813,2816
12-29-0031-46,12-29-0032-46,100.0,100.0,False,INSTITUTO TECNOLÓGICO PRIVADO MIXTO EVANGÉLICO SUNESIS,INSTITUTO TECNOLÓGICO PRIVADO MIXTO EVANGÉLICO SUNESIS,SAN MARCOS,SAN LORENZO,2867,2868
12-29-0036-46,12-29-0037-46,100.0,100.0,True,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,SAN MARCOS,SAN LORENZO,2871,2872
12-01-0119-46,12-01-0199-46,100.0,100.0,False,"COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""","COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""",SAN MARCOS,SAN MARCOS,2206,2244
12-01-0170-46,12-01-0171-46,100.0,100.0,True,"COLEGIO BILINGÜE ""ADVANCE""","COLEGIO BILINGÜE ""ADVANCE""",SAN MARCOS,SAN MARCOS,2227,2228
12-01-0180-46,12-01-0186-46,100.0,100.0,False,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",SAN MARCOS,SAN MARCOS,2236,2239
12-01-0191-46,12-01-4653-46,100.0,100.0,False,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",SAN MARCOS,SAN MARCOS,2242,2262
12-19-0055-46,12-19-0058-46,100.0,100.0,True,COLEGIO DE INFORMATICA AURELIO BALDOR -CIAB-,COLEGIO DE INFORMATICA AURELIO BALDOR -CIAB-,SAN MARCOS,SAN PABLO,2748,2750
12-19-0101-46,12-19-0125-46,100.0,100.0,True,COLEGIO MIXTO LICEO ORIZABA,COLEGIO MIXTO LICEO ORIZABA,SAN MARCOS,SAN PABLO,2754,2765
12-02-0131-46,12-02-4727-46,100.0,100.0,True,"INSTITUTO PARTICULAR MIXTO ""MINERVA""","INSTITUTO PARTICULAR MIXTO ""MINERVA""",SAN MARCOS,SAN PEDRO SACATEPEQUEZ,2278,2333
12-02-0134-46,12-02-0141-46,100.0,100.0,True,COLEGIO PRIVADO URBANO MIXTO DE ESTUDIOS AVANZADOS CESC,COLEGIO PRIVADO URBANO MIXTO DE ESTUDIOS AVANZADOS CESC,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,2281,2285
12-02-0186-46,12-02-0187-46,100.0,100.0,True,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",SAN MARCOS,SAN PEDRO SACATEPEQUEZ,2299,2300
12-02-0188-46,12-02-3695-46,100.0,100.0,True,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",SAN MARCOS,SAN PEDRO SACATEPEQUEZ,2301,2324
12-02-0189-46,12-02-4737-46,100.0,100.0,True,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",SAN MARCOS,SAN PEDRO SACATEPEQUEZ,2302,2334
12-26-0053-46,12-26-0054-46,100.0,100.0,False,"""COLEGIO DE ESTUDIOS SUPERIORES SIPACAPA"" -CESS-","""COLEGIO DE ESTUDIOS SUPERIORES SIPACAPA"" -CESS-",SAN MARCOS,SIPACAPA,2837,2838
12-07-0213-46,12-07-0214-46,100.0,100.0,True,"INSTITUTO TECNOLÓGICO ""ESPERANZA""","INSTITUTO TECNOLÓGICO ""ESPERANZA""",SAN MARCOS,TACANA,2444,2445
06-02-0032-46,06-02-0469-46,100.0,100.0,True,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,SANTA ROSA,BARBERENA,2945,2970
06-02-0037-46,06-02-0079-46,100.0,100.0,False,"LICEO ""SAN ANTONIO""","LICEO ""SAN ANTONIO""",SANTA ROSA,BARBERENA,2947,2951
06-08-0078-46,06-08-1840-46,100.0,100.0,True,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,INSTITUTO PARTICULAR MIXTO DE MERCADOTECNIA Y PUBLICIDAD DE SURORIENTE,SANTA ROSA,CHIQUIMULILLA,3021,3052
06-01-0103-46,06-01-1761-46,100.0,100.0,True,COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO,COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO,SANTA ROSA,CUILAPA,2912,2938
06-01-0108-46,06-01-0109-46,100.0,100.0,True,COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FAMILIA,COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FAMILIA,SANTA ROSA,CUILAPA,2915,2916
06-06-0028-46,06-06-0029-46,100.0,100.0,True,"COLEGIO PARTICULAR MIXTO BILINGÜE ""VILLA REAL""","COLEGIO PARTICULAR MIXTO BILINGÜE ""VILLA REAL""",SANTA ROSA,ORATORIO,2999,3000
07-10-0003-46,07-10-3038-46,100.0,100.0,True,COLEGIO MIXTO JUAN PABLO II,COLEGIO MIXTO JUAN PABLO II,SOLOLA,PANAJACHEL,3229,3257
07-09-0024-46,07-09-0025-46,100.0,100.0,False,"ESCUELA NORMAL BILINGÜE PRIVADA MIXTA ""KIKOTEN""","ESCUELA NORMAL BILINGÜE PRIVADA MIXTA ""KIKOTEN""",SOLOLA,SAN ANDRES SEMETABAJ,3224,3225
07-13-0047-46,07-13-0048-46,100.0,100.0,True,"CENTRO EDUCATIVO PRIVADO ""SABIDURÍA"" CEPSA","CENTRO EDUCATIVO PRIVADO ""SABIDURÍA"" CEPSA",SOLOLA,SAN LUCAS TOLIMAN,3269,3270
07-06-0098-46,07-06-0101-46,100.0,100.0,True,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DON PASCUAL TAMBRIZ TZEP""","INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DON PASCUAL TAMBRIZ TZEP""",SOLOLA,SANTA CATARINA IXTAHUACAN,3210,3212
07-04-0042-46,07-04-0091-46,100.0,100.0,True,ESCUELA NORMAL REGIONAL DE OCCIDENTE,ESCUELA NORMAL REGIONAL DE OCCIDENTE,SOLOLA,SANTA LUCIA UTATLAN,3188,3190
07-03-0006-46,07-03-0010-46,100.0,100.0,False,INSTITUTO PRIVADO LA SALLE,INSTITUTO PRIVADO LA SALLE,SOLOLA,SANTA MARIA VISITACION,3176,3179
10-13-0039-46,10-13-0040-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""","COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""",SUCHITEPEQUEZ,CHICACAO,3637,3638
10-13-0049-46,10-13-0051-46,100.0,100.0,True,COLEGIO PRIVADO MIXTO PAMAXÁN,COLEGIO PRIVADO MIXTO PAMAXÁN,SUCHITEPEQUEZ,CHICACAO,3641,3643
10-02-0056-46,10-02-0057-46,100.0,100.0,True,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,SUCHITEPEQUEZ,CUYOTENANGO,3520,3521
10-02-0056-46,10-02-0059-46,100.0,100.0,True,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,SUCHITEPEQUEZ,CUYOTENANGO,3520,3522
10-02-0057-46,10-02-0059-46,100.0,100.0,True,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,SUCHITEPEQUEZ,CUYOTENANGO,3521,3522
10-01-0078-46,10-01-0302-46,100.0,100.0,True,COLEGIO PRIVADO MIXTO LICEO MAZATECO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,SUCHITEPEQUEZ,MAZATENANGO,3313,3393
10-01-0100-46,10-01-2604-46,100.0,100.0,True,COLEGIO TECNICO SUCHITEPEQUEZ,COLEGIO TECNICO SUCHITEPEQUEZ,SUCHITEPEQUEZ,MAZATENANGO,3329,3504
10-01-0100-46,10-01-2605-46,100.0,100.0,True,COLEGIO TECNICO SUCHITEPEQUEZ,COLEGIO TECNICO SUCHITEPEQUEZ,SUCHITEPEQUEZ,MAZATENANGO,3329,3505
10-01-0104-46,10-01-0105-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3330,3331
10-01-0104-46,10-01-2481-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3330,3494
10-01-0104-46,10-01-2617-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3330,3506
10-01-0105-46,10-01-2481-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3331,3494
10-01-0105-46,10-01-2617-46,100.0,100.0,True,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3331,3506
10-01-0161-46,10-01-0329-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO ROSARIO,COLEGIO PRIVADO MIXTO ROSARIO,SUCHITEPEQUEZ,MAZATENANGO,3339,3412
10-01-0174-46,10-01-0175-46,100.0,100.0,False,"COLEGIO PRIVADO MIXTO ""PESTALOZZI""","COLEGIO PRIVADO MIXTO ""PESTALOZZI""",SUCHITEPEQUEZ,MAZATENANGO,3341,3342
10-01-0190-46,10-01-0191-46,100.0,100.0,True,COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DEL CARMEN,COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DEL CARMEN,SUCHITEPEQUEZ,MAZATENANGO,3352,3353
10-01-0196-46,10-01-2289-46,100.0,100.0,False,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,SUCHITEPEQUEZ,MAZATENANGO,3357,3487
10-01-0196-46,10-01-2531-46,100.0,100.0,False,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,SUCHITEPEQUEZ,MAZATENANGO,3357,3501
10-01-0205-46,10-01-0206-46,100.0,100.0,False,COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES,COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES,SUCHITEPEQUEZ,MAZATENANGO,3359,3360
10-01-0209-46,10-01-0210-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""CENTRO EDUCATIVO MAZATECO""","COLEGIO PRIVADO MIXTO ""CENTRO EDUCATIVO MAZATECO""",SUCHITEPEQUEZ,MAZATENANGO,3361,3362
10-01-0230-46,10-01-0231-46,100.0,100.0,True,COLEGIO PANAMERICANO NO. 8,COLEGIO PANAMERICANO NO. 8,SUCHITEPEQUEZ,MAZATENANGO,3365,3366
10-01-0235-46,10-01-0237-46,100.0,100.0,True,COLEGIO PRIVADO MIXTO JUAN DIEGUEZ OLAVERRI,COLEGIO PRIVADO MIXTO JUAN DIEGUEZ OLAVERRI,SUCHITEPEQUEZ,MAZATENANGO,3368,3369
10-01-0239-46,10-01-0241-46,100.0,100.0,False,LICEO DE EDUCACION SUPERIOR PREUNIVERSITARIO,LICEO DE EDUCACION SUPERIOR PREUNIVERSITARIO,SUCHITEPEQUEZ,MAZATENANGO,3370,3371
10-01-0275-46,10-01-0278-46,100.0,100.0,False,"INSTITUTO TECNICO PRIVADO ""JOSE ORTEGA Y GASSET""","INSTITUTO TECNICO PRIVADO ""JOSE ORTEGA Y GASSET""",SUCHITEPEQUEZ,MAZATENANGO,3379,3380
10-01-0280-46,10-01-2649-46,100.0,100.0,False,COLEGIO CENTRO DE ESTUDIOS INTEGRALES,COLEGIO CENTRO DE ESTUDIOS INTEGRALES,SUCHITEPEQUEZ,MAZATENANGO,3381,3507
10-01-0284-46,10-01-0285-46,100.0,100.0,False,"COLEGIO PRIVADO ""RAFAEL LANDIVAR""","COLEGIO PRIVADO ""RAFAEL LANDIVAR""",SUCHITEPEQUEZ,MAZATENANGO,3385,3386
10-01-0306-46,10-01-0312-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""LICEO MAZATECO""","COLEGIO PRIVADO MIXTO ""LICEO MAZATECO""",SUCHITEPEQUEZ,MAZATENANGO,3396,3400
10-01-0333-46,10-01-0334-46,100.0,100.0,True,COLEGIO LATINOAMERICANO GOSPEL,COLEGIO LATINOAMERICANO GOSPEL,SUCHITEPEQUEZ,MAZATENANGO,3413,3414
10-01-0342-46,10-01-0343-46,100.0,100.0,False,"COLEGIO PRIVADO MIXTO ""GALILEO GALILEI""","COLEGIO PRIVADO MIXTO ""GALILEO GALILEI""",SUCHITEPEQUEZ,MAZATENANGO,3417,3418
10-01-0346-46,10-01-0347-46,100.0,100.0,False,COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES,COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES,SUCHITEPEQUEZ,MAZATENANGO,3419,3420
10-01-0353-46,10-01-0354-46,100.0,100.0,False,"COLEGIO ""INNOVACION TECNOLOGICA""","COLEGIO ""INNOVACION TECNOLOGICA""",SUCHITEPEQUEZ,MAZATENANGO,3424,3425
10-01-0391-46,10-01-0417-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""GALILEO GALILEI""","COLEGIO PRIVADO MIXTO ""GALILEO GALILEI""",SUCHITEPEQUEZ,MAZATENANGO,3439,3455
10-01-0396-46,10-01-0399-46,100.0,100.0,True,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3443,3446
10-01-2289-46,10-01-2531-46,100.0,100.0,True,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,SUCHITEPEQUEZ,MAZATENANGO,3487,3501
10-01-2481-46,10-01-2617-46,100.0,100.0,False,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,SUCHITEPEQUEZ,MAZATENANGO,3494,3506
10-01-2500-46,10-01-2501-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO 'SAN FRANCISCO DE ASIS',COLEGIO PRIVADO MIXTO 'SAN FRANCISCO DE ASIS',SUCHITEPEQUEZ,MAZATENANGO,3497,3498
10-01-2506-46,10-01-2507-46,100.0,100.0,False,"COLEGIO PARTICULAR MIXTO ""CENTROAMERICANO""","COLEGIO PARTICULAR MIXTO ""CENTROAMERICANO""",SUCHITEPEQUEZ,MAZATENANGO,3499,3500
10-01-2604-46,10-01-2605-46,100.0,100.0,True,COLEGIO TECNICO SUCHITEPEQUEZ,COLEGIO TECNICO SUCHITEPEQUEZ,SUCHITEPEQUEZ,MAZATENANGO,3504,3505
10-14-0021-46,10-14-0058-46,100.0,100.0,False,"COLEGIO MIXTO ""NUEVO AMANECER""","COLEGIO MIXTO ""NUEVO AMANECER""",SUCHITEPEQUEZ,PATULUL,3654,3662
10-14-0040-46,10-14-0041-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""","COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""",SUCHITEPEQUEZ,PATULUL,3656,3657
10-14-0066-46,10-14-0067-46,100.0,100.0,False,COLEGIO MUNDO DE JUGUETES,COLEGIO MUNDO DE JUGUETES,SUCHITEPEQUEZ,PATULUL,3665,3666
10-20-0026-46,10-20-0034-46,100.0,100.0,True,"INSTITUTO PRIVADO MIXTO ""EDUCACION Y DESARROLLO""","INSTITUTO PRIVADO MIXTO ""EDUCACION Y DESARROLLO""",SUCHITEPEQUEZ,RIO BRAVO,3726,3729
10-08-1959-46,10-08-2508-46,100.0,100.0,False,INSTITUTO DE EDUCACION AVANZADA,INSTITUTO DE EDUCACION AVANZADA,SUCHITEPEQUEZ,SAMAYAC,3582,3583
10-10-0046-46,10-10-2680-46,100.0,100.0,True,"COLEGIO PRIVADO MIXTO ""AMERICANO""","COLEGIO PRIVADO MIXTO ""AMERICANO""",SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,3596,3626
10-04-0018-46,10-04-0019-46,100.0,100.0,False,"COLEGIO PRIVADO MIXTO ""CIENCIA Y TECNOLOGIA""","COLEGIO PRIVADO MIXTO ""CIENCIA Y TECNOLOGIA""",SUCHITEPEQUEZ,SAN BERNARDINO,3555,3556
10-12-0009-46,10-12-0010-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO INNOVACION EDUCATIVA,COLEGIO PRIVADO MIXTO INNOVACION EDUCATIVA,SUCHITEPEQUEZ,SAN GABRIEL,3630,3631
10-21-0092-46,10-21-0093-46,100.0,100.0,False,COLEGIO PRIVADO MIXTO SUPERACION,COLEGIO PRIVADO MIXTO SUPERACION,SUCHITEPEQUEZ,SAN JOSE LA MAQUINA,3745,3746
10-09-0020-46,10-09-0021-46,100.0,100.0,False,"INSTITUTO PARTICULAR MIXTO ""TECNOLOGICO""","INSTITUTO PARTICULAR MIXTO ""TECNOLOGICO""",SUCHITEPEQUEZ,SAN PABLO JOCOPILAS,3586,3587
10-15-0024-46,10-15-0025-46,100.0,100.0,False,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",SUCHITEPEQUEZ,SANTA BARBARA,3681,3682
10-15-0024-46,10-15-0028-46,100.0,100.0,False,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",SUCHITEPEQUEZ,SANTA BARBARA,3681,3683
10-15-0025-46,10-15-0028-46,100.0,100.0,True,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",SUCHITEPEQUEZ,SANTA BARBARA,3682,3683
10-15-0040-46,10-15-0041-46,100.0,100.0,False,"COLEGIO PRIVADO MIXTO ""SANTA BARBARA""","COLEGIO PRIVADO MIXTO ""SANTA BARBARA""",SUCHITEPEQUEZ,SANTA BARBARA,3685,3686
08-01-0237-46,08-01-0241-46,100.0,100.0,True,COLEGIO ADVENTISTA MARANATHA,COLEGIO ADVENTISTA MARANATHA,TOTONICAPAN,TOTONICAPAN,3762,3764
08-01-0255-46,08-01-0257-46,100.0,100.0,True,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""",TOTONICAPAN,TOTONICAPAN,3770,3771
19-09-0061-46,19-09-0062-46,100.0,100.0,True,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ZACAPA,LA UNION,4021,4022
19-03-1200-46,19-03-1201-46,100.0,100.0,True,LIBERTY COLLEGE,LIBERTY COLLEGE,ZACAPA,RIO HONDO,3954,3955
19-05-0028-46,19-05-0047-46,100.0,100.0,True,GETHSEMANE COLLEGE,GETHSEMANE COLLEGE,ZACAPA,TECULUTAN,3978,3983
19-05-0050-46,19-05-0051-46,100.0,100.0,True,"COLEGIO DE INNOVACIÓN Y APRENDIZAJE TECULUTÁN ""CIAT""","COLEGIO DE INNOVACIÓN Y APRENDIZAJE TECULUTÁN ""CIAT""",ZACAPA,TECULUTAN,3986,3987
